date,count_all,count_normal,count_staff,count_shop
2020-10-31 16:00:00,0,0,0,0
2020-10-31 16:01:00,0,0,0,0
2020-10-31 16:02:00,0,0,0,0
2020-10-31 16:03:00,0,0,0,0
2020-10-31 16:04:00,0,0,0,0
2020-10-31 16:05:00,0,0,0,0
2020-10-31 16:06:00,0,0,0,0
2020-10-31 16:07:00,0,0,0,0
2020-10-31 16:08:00,0,0,0,0
2020-10-31 16:09:00,0,0,0,0
2020-10-31 16:10:00,0,0,0,0
2020-10-31 16:11:00,0,0,0,0
2020-10-31 16:12:00,0,0,0,0
2020-10-31 16:13:00,0,0,0,0
2020-10-31 16:14:00,0,0,0,0
2020-10-31 16:15:00,0,0,0,0
2020-10-31 16:16:00,0,0,0,0
2020-10-31 16:17:00,0,0,0,0
2020-10-31 16:18:00,0,0,0,0
2020-10-31 16:19:00,0,0,0,0
2020-10-31 16:20:00,0,0,0,0
2020-10-31 16:21:00,0,0,0,0
2020-10-31 16:22:00,0,0,0,0
2020-10-31 16:23:00,0,0,0,0
2020-10-31 16:24:00,0,0,0,0
2020-10-31 16:25:00,0,0,0,0
2020-10-31 16:26:00,0,0,0,0
2020-10-31 16:27:00,0,0,0,0
2020-10-31 16:28:00,0,0,0,0
2020-10-31 16:29:00,0,0,0,0
2020-10-31 16:30:00,0,0,0,0
2020-10-31 16:31:00,0,0,0,0
2020-10-31 16:32:00,0,0,0,0
2020-10-31 16:33:00,0,0,0,0
2020-10-31 16:34:00,0,0,0,0
2020-10-31 16:35:00,0,0,0,0
2020-10-31 16:36:00,0,0,0,0
2020-10-31 16:37:00,0,0,0,0
2020-10-31 16:38:00,0,0,0,0
2020-10-31 16:39:00,0,0,0,0
2020-10-31 16:40:00,0,0,0,0
2020-10-31 16:41:00,0,0,0,0
2020-10-31 16:42:00,0,0,0,0
2020-10-31 16:43:00,0,0,0,0
2020-10-31 16:44:00,0,0,0,0
2020-10-31 16:45:00,0,0,0,0
2020-10-31 16:46:00,0,0,0,0
2020-10-31 16:47:00,0,0,0,0
2020-10-31 16:48:00,0,0,0,0
